sampleid	status	taxonid	annotation_category	count
m106_mn01_n1_sml	V	Cyclopoida	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Podoplea>Cyclopoida	1
m106_mn01_n1_sml	V	Oncaeidae	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Podoplea>Cyclopoida>Ergasilida>Oncaeidae	2
m106_mn01_n1_sml	V	detritus	not-living>detritus	0
m106_mn01_n1_sml	V	other<Biota	Biota>other	1
m106_mn01_n1_sml	V	small<egg	Biota>Animalia>Chordata>Vertebrata>Gnathostomata>Osteichthyes>Actinopterygii>egg>small	0
m106_mn01_n1_sml	V	t001	temporary>t001	1
m106_mn01_n3_sml	V	Cyclopoida	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Podoplea>Cyclopoida	0
m106_mn01_n3_sml	V	Oncaeidae	Biota>Animalia>Arthropoda>Crustacea>Multicrustacea>Copepoda>Neocopepoda>Podoplea>Cyclopoida>Ergasilida>Oncaeidae	0
m106_mn01_n3_sml	V	detritus	not-living>detritus	2
m106_mn01_n3_sml	V	other<Biota	Biota>other	0
m106_mn01_n3_sml	V	small<egg	Biota>Animalia>Chordata>Vertebrata>Gnathostomata>Osteichthyes>Actinopterygii>egg>small	1
m106_mn01_n3_sml	V	t001	temporary>t001	0
